fid,cngmeters,X,Y
0,0,-8.44790228159707,179.177162796448
0,100,-8.44858675485804,179.177611476028
0,200,-8.44931601695513,179.178133035792
0,300,-8.45004553048167,179.178609207143
0,400,-8.45076554927343,179.179167032834
0,500,-8.45156767403204,179.17958914571
0,600,-8.45239726817077,179.179947865937
0,700,-8.45323595090546,179.180297560703
0,800,-8.45404726363524,179.180692495857
0,900,-8.45484029554522,179.181123644152
0,1000,-8.45566074653594,179.181500477722
0,1100,-8.45646296729917,179.18190444623
0,1200,-8.45727417527808,179.182317545865
0,1300,-8.45809462378096,179.182694385356
0,1400,-8.4588967912604,179.183107438138
0,1500,-8.45972647964747,179.183448019262
0,1600,-8.46059272796407,179.18371617936
0,1700,-8.4614497848575,179.184011525194
0,1800,-8.46230704409533,179.184270559316
0,1900,-8.46318248178337,179.1845115402
0,2000,-8.46403958777781,179.184797812685
0,2100,-8.46483266059644,179.185219906176
0,2200,-8.46569900714578,179.185469919523
0,2300,-8.46655616211707,179.185747118787
0,2400,-8.46742245687204,179.186006213801
0,2500,-8.468252037281,179.18636496965
0,2600,-8.4690450554332,179.186796151231
0,2700,-8.46984711134074,179.187227385945
0,2800,-8.47055806713885,179.187785211378
0,2900,-8.47125099506962,179.188333858235
0,3000,-8.47188918052638,179.188972986028
0,3100,-8.47266401405148,179.189422233054
0,3200,-8.47343910121852,179.189826089202
0,3300,-8.47428700646766,179.190139570534
0,3400,-8.47515324322206,179.190407762883
0,3500,-8.47602892584072,179.190603378916
0,3600,-8.47692299129836,179.190744626723
0,3700,-8.47780776291765,179.19093121792
0,3800,-8.47869253419346,179.191117810469
0,3900,-8.47958685379213,179.191213668349
0,4000,-8.48048117321661,179.191309527197
0,4100,-8.48138468418358,179.191378201955
0,4200,-8.48228834807428,179.191419641213
0,4300,-8.4831922159699,179.191424765973
0,4400,-8.48409603279114,179.191438970128
0,4500,-8.48500020679854,179.191389622937
0,4600,-8.48589549525486,179.191312988175
