fid,cngmeters,X,Y
"8",1500.000000000000000,"730010","9044550"
"8",1600.000000000000000,"729927","9044494"
"8",1700.000000000000000,"729840","9044445"
"8",1800.000000000000000,"729754","9044394"
"8",1900.000000000000000,"729668","9044343"
"8",2000.000000000000000,"729586","9044285"
"8",2100.000000000000000,"729505","9044227"
"8",2200.000000000000000,"729421","9044172"
"8",2300.000000000000000,"729335","9044122"
"8",2400.000000000000000,"729248","9044072"
"8",2500.000000000000000,"729160","9044025"
"8",2600.000000000000000,"729098","9044049"
"8",2700.000000000000000,"730126","9043971"
"8",2800.000000000000000,"729002","9044177"
"8",2900.000000000000000,"728893","9044159"
"8",3000.000000000000000,"728810","9044210"
"9",0.000000000000000,"728509","9045061"
"9",100.000000000000000,"728431","9044924"
"9",200.000000000000000,"728406","9044828"
"9",300.000000000000000,"728374","9044741"
"9",400.000000000000000,"728363","9044648"
"9",500.000000000000000,"728468","9044504"
"9",600.000000000000000,"728387","9044573"
"9",700.000000000000000,"728506","9044404"
"9",800.000000000000000,"728463","9044300"
"9",900.000000000000000,"728414","9044217"
"10",0.000000000000000,"728671","9045578"
"10",100.000000000000000,"728769","9045609"
"10",200.000000000000000,"728803","9045722"
"11",0.000000000000000,"728855","9046076"
"11",100.000000000000000,"728884","9045996"
"11",200.000000000000000,"728851","9045900"
"11",300.000000000000000,"728824","9045822"
"19",0.000000000000000,"739269","9066143"
"19",100.000000000000000,"739219","9066187"
"19",200.000000000000000,"739164","9066271"
"19",300.000000000000000,"739106","9066352"
"19",400.000000000000000,"739035","9066422"
"19",500.000000000000000,"738954","9066480"
"19",600.000000000000000,"738878","9066545"
"19",700.000000000000000,"738811","9066620"
"19",800.000000000000000,"738735","9066653"
"20",0.000000000000000,"727948","9049098"
"21",0.000000000000000,"727977","9049022"
"21",100.000000000000000,"727955","9048960"
"23",0.000000000000000,"724456","9058771"
"23",100.000000000000000,"724432","9058638"
"23",200.000000000000000,"724405","9058588"
"23",300.000000000000000,"724338","9058517"
"23",400.000000000000000,"724256","9058463"
"24",0.000000000000000,"727141","9060902"
"24",100.000000000000000,"727147","9060792"
"24",200.000000000000000,"727069","9060740"
"24",300.000000000000000,"726958","9060725"
"24",400.000000000000000,"726859","9060725"
"24",500.000000000000000,"726742","9060742"
"24",600.000000000000000,"726648","9060818"
"25",0.000000000000000,"728995","9064271"
"25",100.000000000000000,"729085","9064217"
"25",200.000000000000000,"729178","9064171"
"25",300.000000000000000,"729241","9064072"
