DateTime,Hs,Dir,Windx,Windy,peakdir,peakperiod,meanperiod
2023-06-22 17:00:00,1.02034,64.17313,-6.1207643,-0.5897046,64.999985,8.041783,3.7820904
2023-06-22 18:00:00,1.0242143,64.440125,-6.2195406,-0.8806597,64.999985,8.041783,3.7583818
2023-06-22 19:00:00,1.028982,64.7457,-6.321623,-0.51102465,64.999985,8.041783,3.7340229
2023-06-22 20:00:00,1.0338739,65.05856,-6.4014006,-0.1389413,64.999985,8.041783,3.7225935
2023-06-22 21:00:00,1.0395554,65.39444,-6.459349,0.23361589,64.999985,8.041783,3.6911387
2023-06-22 22:00:00,1.0451174,65.69101,-6.529169,0.4896219,64.999985,8.041783,3.680996
2023-06-22 23:00:00,1.0514296,65.98988,-6.58944,0.74508613,64.999985,8.041783,3.655633
2023-06-23 00:00:00,1.0574713,66.26457,-6.6405582,0.9995155,64.999985,8.041783,3.6462867
2023-06-23 01:00:00,1.0642266,66.48999,-6.601536,0.81242627,64.999985,8.041783,3.6363842
2023-06-23 02:00:00,1.0697973,66.67207,-6.5576344,0.62466633,64.999985,8.041783,3.647086
2023-06-23 03:00:00,1.0762576,66.813934,-6.5086837,0.4364255,64.999985,8.041783,3.6395178
2023-06-23 04:00:00,1.0808622,66.9122,-6.218047,0.42577517,64.999985,8.041783,3.6604705
2023-06-23 05:00:00,1.0853971,66.94292,-5.9273963,0.41512385,64.999985,8.041783,3.6531262
2023-06-23 06:00:00,1.088727,66.98056,-5.63673,0.40447146,64.999985,8.041783,3.6788201
2023-06-23 07:00:00,1.0923852,66.96919,-5.758058,0.3211609,64.999985,8.041783,3.669689
2023-06-23 08:00:00,1.09529,66.96648,-5.877987,0.23776215,64.999985,8.041783,3.6997101
2023-06-23 09:00:00,1.0987729,66.95688,-5.996594,0.15430994,64.999985,8.041783,3.690671
2023-06-23 10:00:00,1.100773,66.909424,-5.7894583,0.19302171,64.999985,8.041783,3.7220848
2023-06-23 11:00:00,1.103022,66.86746,-5.5819635,0.23172316,64.999985,8.041783,3.713688
2023-06-23 12:00:00,1.1036671,66.79341,-5.374069,0.27040797,64.999985,8.041783,3.7442536
2023-06-23 13:00:00,1.1044731,66.71672,-5.022972,0.40752742,64.999985,8.041783,3.752936
2023-06-23 14:00:00,1.1039684,66.616806,-4.6664467,0.544325,64.999985,8.041783,3.7797828
2023-06-23 15:00:00,1.1037917,66.50217,-4.303246,0.6803439,64.999985,8.041783,3.8001304
2023-06-23 16:00:00,1.1028322,66.38037,-4.6978235,0.7613759,64.999985,8.041783,3.8574295
2023-06-23 17:00:00,1.1028795,66.27229,-5.092341,0.8423983,75.0,8.041783,3.8741498
2023-06-23 18:00:00,1.1030202,66.19589,-5.4868126,0.9234131,75.0,8.041783,3.8884437
2023-06-23 19:00:00,1.1041911,66.14682,-5.702889,1.0926737,75.0,8.041783,3.8757546
2023-06-23 20:00:00,1.1048783,66.05347,-5.9162874,1.2614465,75.0,8.041783,3.8747087
2023-06-23 21:00:00,1.1059396,65.97757,-6.1273317,1.4297175,75.0,8.041783,3.8526707
2023-06-23 22:00:00,1.1069481,65.91472,-6.3144097,1.1965821,75.0,8.041783,3.8340101
2023-06-23 23:00:00,1.1080818,65.8665,-6.4908614,0.96122414,75.0,8.041783,3.8148894
2023-06-24 00:00:00,1.1087629,65.83484,-6.6572194,0.7243713,75.0,8.041783,3.7988126
2023-06-24 01:00:00,1.1101083,65.8698,-6.7845225,0.78809553,75.0,8.041783,3.7780004
2023-06-24 02:00:00,1.1112444,65.93811,-6.9114823,0.85178083,75.0,8.041783,3.7483459
2023-06-24 03:00:00,1.113701,66.08583,-7.0381184,0.9154265,75.0,8.041783,3.714495
2023-06-24 04:00:00,1.1153876,66.26636,-6.8676434,1.157488,75.0,8.041783,3.692064
2023-06-24 05:00:00,1.1177069,66.43825,-6.6870227,1.3980552,75.0,8.041783,3.6759267
2023-06-24 06:00:00,1.1195475,66.63782,-6.4957585,1.6363971,75.0,8.041783,3.676775
2023-06-24 07:00:00,1.1228365,66.83392,-6.4209714,1.544599,75.0,8.041783,3.6585948
2023-06-24 08:00:00,1.1259019,67.039444,-6.345428,1.4526144,75.0,8.041783,3.6753678
2023-06-24 09:00:00,1.1294861,67.17108,-6.269091,1.360448,75.0,8.041783,3.6642427
2023-06-24 10:00:00,1.1326613,67.264496,-5.812727,1.4201684,75.0,8.041783,3.6832793
2023-06-24 11:00:00,1.1355116,67.25252,-5.351824,1.4788699,75.0,8.041783,3.6972017
2023-06-24 12:00:00,1.138077,67.19075,-4.885302,1.536019,75.0,8.041783,3.7289753
2023-06-24 13:00:00,1.1402559,67.06819,-4.686308,1.8168157,75.0,8.041783,3.7465453
2023-06-24 14:00:00,1.1417251,66.920364,-4.466281,2.0903172,75.0,8.041783,3.8011742
2023-06-24 15:00:00,1.1419278,66.68817,-4.224866,2.3538086,75.0,8.041783,3.873932
2023-06-24 16:00:00,1.1432531,66.57695,-4.6874847,2.363741,75.0,8.041783,3.9294765
2023-06-24 17:00:00,1.1440467,66.45619,-5.1433396,2.3701427,75.0,8.041783,3.9497905
2023-06-24 18:00:00,1.1443207,66.38377,-5.5936766,2.3740017,75.0,8.041783,3.9881277
2023-06-24 19:00:00,1.1444691,66.33682,-5.760387,2.487497,75.0,8.041783,3.9858215
2023-06-24 20:00:00,1.1437622,66.32637,-5.9268847,2.6009011,75.0,8.041783,3.9924192
2023-06-24 21:00:00,1.1427879,66.3779,-6.0931892,2.7142205,75.0,8.041783,3.995852
2023-06-24 22:00:00,1.1403561,66.467026,-6.3801084,2.436085,75.0,8.041783,3.9941423
2023-06-24 23:00:00,1.1386793,66.61864,-6.6492047,2.1506448,75.0,8.041783,3.9742343
2023-06-25 00:00:00,1.1365652,66.79672,-6.9011793,1.8596666,75.0,8.041783,3.9527133
2023-06-25 01:00:00,1.1336291,66.970184,-6.40476,1.9771945,75.0,8.041783,3.9289432
2023-06-25 02:00:00,1.1299021,67.1573,-5.8986673,2.0920036,75.0,8.041783,3.9361243
2023-06-25 03:00:00,1.1250111,67.29216,-5.380925,2.202681,75.0,8.041783,3.9331717
