datetime,height
2023-06-14 14:27:00,0.78871137
2023-06-14 14:28:00,0.78958946
2023-06-14 14:29:00,0.7904179
2023-06-14 14:30:00,0.7911966
2023-06-14 14:31:00,0.7919255
2023-06-14 14:32:00,0.79260445
2023-06-14 14:33:00,0.7932336
2023-06-14 14:34:00,0.79381263
2023-06-14 14:35:00,0.79434174
2023-06-14 14:36:00,0.7948207
2023-06-14 14:37:00,0.7952496
2023-06-14 14:38:00,0.79562837
2023-06-14 14:39:00,0.79595685
2023-06-14 14:40:00,0.7962352
2023-06-14 14:41:00,0.79646325
2023-06-14 14:42:00,0.7966411
2023-06-14 14:43:00,0.79676855
2023-06-14 14:44:00,0.7968458
2023-06-14 14:45:00,0.7968726
2023-06-14 14:46:00,0.7968492
2023-06-14 14:47:00,0.79677546
2023-06-14 14:48:00,0.79665124
2023-06-14 14:49:00,0.7964767
2023-06-14 14:50:00,0.7962519
2023-06-14 14:51:00,0.7959767
2023-06-14 14:52:00,0.79565126
2023-06-14 14:53:00,0.79527545
2023-06-14 14:54:00,0.79484934
2023-06-14 14:55:00,0.79437286
2023-06-14 14:56:00,0.7938463
2023-06-14 14:57:00,0.79326934
2023-06-14 14:58:00,0.7926423
2023-06-14 14:59:00,0.7919651
2023-06-14 15:00:00,0.7912377
2023-06-14 15:01:00,0.7904603
2023-06-14 15:02:00,0.78963286
2023-06-14 15:03:00,0.7887554
2023-06-14 15:04:00,0.78782797
2023-06-14 15:05:00,0.78685075
2023-06-14 15:06:00,0.78582364
2023-06-14 15:07:00,0.78474677
2023-06-14 15:08:00,0.78362024
2023-06-14 15:09:00,0.78244406
2023-06-14 15:10:00,0.78121835
2023-06-14 15:11:00,0.77994317
2023-06-14 15:12:00,0.7786186
2023-06-14 15:13:00,0.7772446
2023-06-14 15:14:00,0.77582145
2023-06-14 15:15:00,0.7743492
2023-06-14 15:16:00,0.77282786
2023-06-14 15:17:00,0.7712576
2023-06-14 15:18:00,0.7696384
2023-06-14 15:19:00,0.76797056
2023-06-14 15:20:00,0.76625407
2023-06-14 15:21:00,0.764489
2023-06-14 15:22:00,0.7626755
2023-06-14 15:23:00,0.7608138
2023-06-14 15:24:00,0.7589038
2023-06-14 15:25:00,0.7569458
2023-06-14 15:26:00,0.75493985
2023-06-14 15:27:00,0.7528861
2023-06-14 15:28:00,0.75078475
2023-06-14 15:29:00,0.74863577
2023-06-14 15:30:00,0.7464395
2023-06-14 15:31:00,0.74419594
2023-06-14 15:32:00,0.7419053
