  8.7058824e-001  9.2156863e-001  9.8039216e-001
  5.9477127e-001  7.8692812e-001  9.1372550e-001
  3.1895426e-001  6.5228760e-001  8.4705883e-001
  4.3137256e-002  5.1764709e-001  7.8039217e-001
  2.1568628e-002  2.5882354e-001  8.9019608e-001
  0.0000000e+000  0.0000000e+000  1.0000000e+000
  0.0000000e+000  1.2450980e-001  7.5000000e-001
  0.0000000e+000  2.4901961e-001  5.0000000e-001
  0.0000000e+000  3.7352940e-001  2.5000000e-001
  0.0000000e+000  4.9803922e-001  0.0000000e+000
  5.0000000e-001  7.4901962e-001  3.0000001e-001
  1.0000000e+000  1.0000000e+000  6.0000002e-001
  1.0000000e+000  9.4999999e-001  5.0000000e-001
  1.0000000e+000  8.9999998e-001  4.0000001e-001
  1.0000000e+000  8.5000002e-001  3.0000001e-001
  1.0000000e+000  8.0000001e-001  2.0000000e-001
  1.0000000e+000  6.0000002e-001  1.5000001e-001
  1.0000000e+000  4.0000001e-001  1.0000000e-001
  1.0000000e+000  2.0000000e-001  5.0000001e-002
  1.0000000e+000  0.0000000e+000  0.0000000e+000
  8.9999998e-001  5.0000001e-002  0.0000000e+000
  8.0000001e-001  1.0000000e-001  0.0000000e+000
  7.0000005e-001  1.5000001e-001  0.0000000e+000
  6.0000002e-001  2.0000000e-001  0.0000000e+000
  6.8823528e-001  3.6764705e-001  1.8333334e-001
  7.7647060e-001  5.3529412e-001  3.6666667e-001
  8.6470592e-001  7.0294118e-001  5.5000001e-001
  9.5294118e-001  8.7058824e-001  7.3333335e-001
  9.0882355e-001  8.1895423e-001  7.0490199e-001
  8.6470586e-001  7.6732028e-001  6.7647058e-001
  8.2058823e-001  7.1568626e-001  6.4803922e-001
  7.7647060e-001  6.6405231e-001  6.1960787e-001
  7.3235297e-001  6.1241829e-001  5.9117651e-001
  6.8823528e-001  5.6078434e-001  5.6274509e-001
  6.4411765e-001  5.0915033e-001  5.3431374e-001
  6.0000002e-001  4.5751634e-001  5.0588238e-001
  5.5588233e-001  4.0588236e-001  4.7745100e-001
  5.1176471e-001  3.5424837e-001  4.4901961e-001
  4.6764708e-001  3.0261439e-001  4.2058825e-001
  4.2352942e-001  2.5098041e-001  3.9215687e-001
